			1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
>500	13.0	10.5	17.1	9.0	16.5	13.5	17.1	14.3	21.2	14.9	14.9	14.0	26.0	24.9	17.2	22.8	39.1	43.7	73.9	33.3	31.0	60.9	48.2	67.1	55.4	44.1	60.4	53.5	62.0	67.6	65.0	76.9	110.4	87.1	83.1	77.1	39.9	54.6	
(400:500]	0.5	0.0	0.0	0.5	0.0	0.0	1.4	3.5	2.2	6.3	4.8	3.0	2.8	1.2	1.9	3.0	3.7	10.6	15.8	45.3	40.7	45.4	64.8	67.5	67.3	54.0	64.9	89.0	84.9	73.7	75.4	75.7	51.2	54.6	73.6	73.0	69.6	71.3	
(300:400]	7.4	9.5	13.6	14.9	22.3	11.6	18.9	22.0	26.4	16.2	16.2	26.8	24.4	20.3	11.4	11.6	17.6	23.6	16.8	16.3	27.9	32.9	28.7	52.4	55.4	39.3	61.0	55.0	40.2	53.1	37.2	34.7	18.3	29.1	35.4	38.8	27.0	41.0	
(200:300]	8.3	10.0	6.1	9.9	4.4	14.0	12.5	3.9	14.3	17.1	4.8	12.7	18.4	18.4	15.3	19.5	20.8	34.2	27.8	34.7	46.5	22.9	33.2	27.5	31.4	17.6	45.1	44.5	44.4	50.2	47.8	68.1	54.1	55.2	46.3	90.5	81.1	80.0	
(100:200]	29.6	46.5	46.4	39.7	28.7	41.9	30.5	42.8	61.0	51.4	32.8	52.7	42.7	53.0	74.0	64.8	58.9	47.6	41.6	11.7	23.4	16.4	18.6	21.4	19.2	36.1	41.5	59.3	55.6	58.3	49.5	71.9	69.2	73.6	69.0	97.6	69.6	115.6	
(50:100]	16.7	10.9	29.3	15.8	23.3	15.8	15.7	13.0	32.9	22.1	9.6	14.0	11.6	10.4	19.8	16.5	14.3	31.4	38.5	25.8	27.9	57.0	46.9	28.5	31.7	23.3	35.9	32.8	17.8	27.6	33.5	25.0	28.6	19.0	21.3	26.0	24.0	15.6	
(40:50]	0.0	1.4	1.0	0.0	0.0	0.9	3.2	0.0	1.7	4.5	2.2	1.3	0.4	2.7	3.1	6.7	7.3	7.0	5.8	5.0	12.1	9.3	7.8	9.3	9.0	7.4	6.0	5.9	8.2	3.2	4.8	16.9	17.2	19.6	6.3	4.9	5.2	11.0	
(30:40]	0.9	0.0	0.0	0.0	3.4	0.9	7.4	4.3	5.2	5.0	0.4	5.5	5.2	4.6	8.8	11.2	23.4	5.6	9.6	6.0	14.5	4.8	10.1	5.8	5.1	8.3	13.2	11.4	10.0	9.3	5.9	3.5	1.4	5.3	9.2	5.7	6.6	3.3	
(20:30]	2.3	4.3	0.5	1.8	2.4	2.3	1.4	0.4	2.6	4.5	3.9	3.8	5.2	8.4	7.6	9.4	6.9	6.7	8.6	8.9	14.5	16.1	9.1	19.8	18.6	7.7	17.0	18.2	17.5	15.4	22.2	12.5	12.9	11.5	13.5	10.7	13.7	19.2	
(10:20]	21.8	20.0	35.8	33.4	4.9	16.8	22.6	15.1	26.4	19.8	24.0	10.2	15.2	13.0	32.4	15.4	21.6	12.0	29.2	19.1	17.9	14.8	10.4	20.5	24.0	27.8	21.2	20.4	33.3	27.6	26.5	36.7	30.6	21.6	12.9	16.1	22.1	20.3	
(5:10]	19.9	23.3	29.3	26.2	13.1	12.6	20.8	8.6	19.5	15.8	15.3	13.2	12.8	15.4	19.1	22.1	13.5	15.9	13.1	13.8	17.9	19.0	21.8	15.7	11.9	13.8	19.1	30.3	17.8	14.2	17.2	12.5	10.3	26.3	28.5	15.3	24.8	29.0	
(2:5]	5.6	11.9	15.6	10.8	10.2	10.2	23.1	18.2	18.2	10.4	11.4	7.6	11.6	13.0	24.8	12.7	9.9	16.2	21.0	26.6	27.9	19.7	15.3	17.9	24.4	19.8	22.7	30.6	23.6	19.7	24.2	22.7	21.7	23.0	29.3	34.2	21.3	30.8	
(1:2]	9.7	10.9	21.2	15.3	7.8	8.4	12.5	6.1	10.4	8.6	4.4	6.8	10.8	12.3	12.2	16.9	8.0	7.8	16.2	8.5	7.2	10.0	11.1	4.8	10.3	9.0	10.2	9.9	9.4	14.8	16.6	10.5	12.3	12.6	12.4	25.7	13.9	9.5	
(0:1]	16.2	17.6	13.1	14.4	13.6	11.2	20.8	20.3	22.5	17.1	13.6	12.3	18.0	20.7	24.0	22.5	19.8	20.4	16.2	16.3	13.8	18.0	27.0	24.0	24.0	13.8	22.1	26.6	21.5	23.2	22.2	18.1	30.0	23.0	27.6	32.5	31.4	36.7	
